symptoms,illness
"kaltschweißige Haut, niedriger Blutdruck",Schock
"kaltschweißig, niedrige Herzfrequenz",Schock
"Hypotonie, schweißige Haut",Schock
"kaltschweißige Haut",Schock
"geringer Blutdruck",Schock
"hoher Blutdruck, hochroter Kopf",Hypertensive Krise
"hochroter Kopf",Hypertensive Krise
"rot",Hypertensive Krise
"sehr hoher Blutdruck",Hypertensive Krise
"Brustschmerz, ausstrahlend in den Kiefer",ACS
Symptom,Verdachtsdiagnose
Atemnot,Asthma / COPD
Brustschmerzen,Herzinfarkt
Oberbauchschmerzen,Akutes Abdomen
Kopfweh,Migräne
Übelkeit,Gastroenteritis
Erbrechen,Gastroenteritis
Fieber,Fieber bei Infekt
Schwindel,Schwindel durch Kreislaufprobleme
Bewusstlosigkeit,Schlaganfall
Unfall mit Trauma,Traumatisches Ereignis
Lähmung,Schlaganfall / Wirbelsäulenverletzung
Krampfanfälle,Epilepsie / Krampfanfälle
Husten,Erkältung / Infektionen
Blutdruckabfall,Schock / Hypotonie
Schwäche,Schlaganfall
Bauchschmerzen,Appendizitis / Gallenblasenentzündung
Blut im Stuhl,Blutungen / Hämorrhoiden
Rückenschmerzen,Bandscheibenvorfall
Durchfall,Magen-Darm-Erkrankung
Hautausschlag,Hautkrankheit / Allergien
Husten mit Auswurf,Lungenentzündung / Bronchitis
Sehstörungen,Neurologische Probleme
Zyanose,Herzrhythmusstörungen
Herzrasen,Herzrhythmusstörungen
Kalter Schweiß,Hypoglykämie / Kreislaufprobleme
Atemnot,Asthma / COPD
Brustschmerzen,Herzinfarkt
Oberbauchschmerzen,Akutes Abdomen
Kopfweh,Migräne
Übelkeit,Gastroenteritis
Erbrechen,Gastroenteritis
Fieber,Fieber bei Infekt
Schwindel,Schwindel durch Kreislaufprobleme
Bewusstlosigkeit,Schlaganfall
Unfall mit Trauma,Traumatisches Ereignis
Lähmung,Schlaganfall / Wirbelsäulenverletzung
Krampfanfälle,Epilepsie / Krampfanfälle
Husten,Erkältung / Infektionen
Blutdruckabfall,Schock / Hypotonie
Schwäche,Schlaganfall
Bauchschmerzen,Appendizitis / Gallenblasenentzündung
Blut im Stuhl,Blutungen / Hämorrhoiden
Rückenschmerzen,Bandscheibenvorfall
Durchfall,Magen-Darm-Erkrankung
Hautausschlag,Hautkrankheit / Allergien
Husten mit Auswurf,Lungenentzündung / Bronchitis
Sehstörungen,Neurologische Probleme
Zyanose,Herzrhythmusstörungen
Herzrasen,Herzrhythmusstörungen
Kalter Schweiß,Hypoglykämie / Kreislaufprobleme
